route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
100_18,PMPML,100,Ma. Na. Pa. to  Hinjawadi Phase,,3,,,
101,PMPML,101,,,3,,,
102,PMPML,102,,,3,,,
103M,PMPML,103M,,,3,,,
103,PMPML,103,,,3,,,
104,PMPML,104,,,3,,,
105,PMPML,105,,,3,,,
106,PMPML,106,,,3,,,
107,PMPML,107,,,3,,,
108,PMPML,108,,,3,,,
109,PMPML,109,,,3,,,
10,PMPML,10,,,3,,,
110,PMPML,110,,,3,,,
111,PMPML,111,,,3,,,
113,PMPML,113,,,3,,,
114,PMPML,114,,,3,,,
115P_90,PMPML,115P,Pune Station to Hinjawadi Phase 3,,3,,,
116,PMPML,116,,,3,,,
117A,PMPML,117A,,,3,,,
117B,PMPML,117B,,,3,,,
117C,PMPML,117C,,,3,,,
117,PMPML,117,,,3,,,
118B,PMPML,118B,,,3,,,
118,PMPML,118,,,3,,,
119,PMPML,119,,,3,,,
11,PMPML,11,,,3,,,
120,PMPML,120,,,3,,,
121,PMPML,121,,,3,,,
122B,PMPML,122B,,,3,,,
122,PMPML,122,,,3,,,
123,PMPML,123,,,3,,,
125,PMPML,125,,,3,,,
126B,PMPML,126B,,,3,,,
126C,PMPML,126C,,,3,,,
126D,PMPML,126D,,,3,,,
126,PMPML,126,,,3,,,
127_86,PMPML,127,127,,3,,,
128,PMPML,128,,,3,,,
129,PMPML,129,,,3,,,
12,PMPML,12,,,3,,,
130A,PMPML,130A,,,3,,,
130,PMPML,130,,,3,,,
131_12,PMPML,131,131,,3,,,
132,PMPML,132,,,3,,,
133,PMPML,133,,,3,,,
135,PMPML,135,,,3,,,
136,PMPML,136,,,3,,,
139,PMPML,139,,,3,,,
13A,PMPML,13A,,,3,,,
13,PMPML,13,,,3,,,
140,PMPML,140,,,3,,,
142,PMPML,142,,,3,,,
143A,PMPML,143A,,,3,,,
143,PMPML,143,,,3,,,
144D,PMPML,144D,,,3,,,
144,PMPML,144,,,3,,,
145A,PMPML,145A,,,3,,,
145,PMPML,145,,,3,,,
146,PMPML,146,,,3,,,
147,PMPML,147,,,3,,,
148A,PMPML,148A,,,3,,,
148,PMPML,148,,,3,,,
149,PMPML,149,,,3,,,
14,PMPML,14,,,3,,,
150_73,PMPML,150,150,,3,,,
151,PMPML,151,,,3,,,
152_75,PMPML,152,152,,3,,,
154,PMPML,154,,,3,,,
155,PMPML,155,,,3,,,
158A(NEW),PMPML,158A(NEW),,,3,,,
158B,PMPML,158B,,,3,,,
158,PMPML,158,,,3,,,
159,PMPML,159,,,3,,,
161,PMPML,161,,,3,,,
162,PMPML,162,,,3,,,
163,PMPML,163,,,3,,,
164,PMPML,164,,,3,,,
165,PMPML,165,,,3,,,
166,PMPML,166,,,3,,,
167,PMPML,167,,,3,,,
168,PMPML,168,,,3,,,
169,PMPML,169,,,3,,,
170B,PMPML,170B,,,3,,,
170,PMPML,170,,,3,,,
172_38,PMPML,172,172,,3,,,
174A,PMPML,174A,,,3,,,
174,PMPML,174,,,3,,,
175,PMPML,175,,,3,,,
177,PMPML,177,,,3,,,
179,PMPML,179,,,3,,,
17A,PMPML,17A,,,3,,,
17,PMPML,17,,,3,,,
180,PMPML,180,,,3,,,
181C,PMPML,181C,,,3,,,
181,PMPML,181,,,3,,,
183,PMPML,183,,,3,,,
185,PMPML,185,,,3,,,
186A,PMPML,186A,,,3,,,
186,PMPML,186,,,3,,,
187,PMPML,187,,,3,,,
188,PMPML,188,,,3,,,
189,PMPML,189,,,3,,,
190,PMPML,190,,,3,,,
191,PMPML,191,,,3,,,
192,PMPML,192,,,3,,,
193,PMPML,193,,,3,,,
194_03,PMPML,194,194,,3,,,
195,PMPML,195,,,3,,,
196,PMPML,196,,,3,,,
197,PMPML,197,,,3,,,
198,PMPML,198,,,3,,,
19A,PMPML,19A,,,3,,,
19D,PMPML,19D,,,3,,,
19,PMPML,19,,,3,,,
200A,PMPML,200A,,,3,,,
200,PMPML,200,,,3,,,
201,PMPML,201,,,3,,,
202,PMPML,202,,,3,,,
203P,PMPML,203P,,,3,,,
203,PMPML,203,,,3,,,
204,PMPML,204,,,3,,,
205,PMPML,205,,,3,,,
206,PMPML,206,,,3,,,
207,PMPML,207,,,3,,,
208,PMPML,208,,,3,,,
209_96,PMPML,209,209,,3,,,
20B,PMPML,20B,,,3,,,
20,PMPML,20,,,3,,,
213,PMPML,213,,,3,,,
214,PMPML,214,,,3,,,
215,PMPML,215,,,3,,,
216A,PMPML,216A,,,3,,,
216B,PMPML,216B,,,3,,,
216C,PMPML,216C,,,3,,,
216,PMPML,216,,,3,,,
217,PMPML,217,,,3,,,
21A,PMPML,21A,,,3,,,
21B,PMPML,21B,,,3,,,
21,PMPML,21,,,3,,,
227,PMPML,227,,,3,,,
22A,PMPML,22A,,,3,,,
22,PMPML,22,,,3,,,
230,PMPML,230,,,3,,,
233,PMPML,233,,,3,,,
234,PMPML,234,,,3,,,
235,PMPML,235,,,3,,,
236,PMPML,236,,,3,,,
237,PMPML,237,,,3,,,
24,PMPML,24,,,3,,,
252,PMPML,252,,,3,,,
253,PMPML,253,,,3,,,
255_49,PMPML,255,255,,3,,,
256,PMPML,256,,,3,,,
257,PMPML,257,,,3,,,
264,PMPML,264,,,3,,,
26,PMPML,26,,,3,,,
275_12,PMPML,275,275,,3,,,
276,PMPML,276,,,3,,,
277A,PMPML,277A,,,3,,,
277,PMPML,277,,,3,,,
279A,PMPML,279A,,,3,,,
279,PMPML,279,,,3,,,
27,PMPML,27,,,3,,,
281,PMPML,281,,,3,,,
282,PMPML,282,,,3,,,
283,PMPML,283,,,3,,,
284,PMPML,284,,,3,,,
28,PMPML,28,,,3,,,
290,PMPML,290,,,3,,,
291,PMPML,291,,,3,,,
292A,PMPML,292A,,,3,,,
292B,PMPML,292B,,,3,,,
292C,PMPML,292C,,,3,,,
292,PMPML,292,,,3,,,
293A,PMPML,293A,,,3,,,
293,PMPML,293,,,3,,,
294,PMPML,294,,,3,,,
295,PMPML,295,,,3,,,
296A,PMPML,296A,,,3,,,
296,PMPML,296,,,3,,,
297,PMPML,297,,,3,,,
298,PMPML,298,,,3,,,
299,PMPML,299,,,3,,,
29,PMPML,29,,,3,,,
2D,PMPML,2D,,,3,,,
2H,PMPML,2H,,,3,,,
2I,PMPML,2I,,,3,,,
2J,PMPML,2J,,,3,,,
2L,PMPML,2L,,,3,,,
2,PMPML,2,,,3,,,
300_58,PMPML,300,300,,3,,,
301A_82,PMPML,301A,301A,,3,,,
301,PMPML,301,,,3,,,
302A(New),PMPML,302A(New),,,3,,,
302B,PMPML,302B,,,3,,,
302C,PMPML,302C,,,3,,,
302D,PMPML,302D,,,3,,,
302,PMPML,302,,,3,,,
303,PMPML,303,,,3,,,
304A,PMPML,304A,,,3,,,
304,PMPML,304,,,3,,,
305B,PMPML,305B,,,3,,,
305,PMPML,305,,,3,,,
306,PMPML,306,,,3,,,
307,PMPML,307,,,3,,,
308,PMPML,308,,,3,,,
309,PMPML,309,,,3,,,
30,PMPML,30,,,3,,,
310,PMPML,310,,,3,,,
311,PMPML,311,,,3,,,
312,PMPML,312,,,3,,,
313A,PMPML,313A,,,3,,,
313,PMPML,313,,,3,,,
314,PMPML,314,,,3,,,
315,PMPML,315,,,3,,,
316,PMPML,316,,,3,,,
317,PMPML,317,,,3,,,
318,PMPML,318,,,3,,,
319,PMPML,319,,,3,,,
31,PMPML,31,,,3,,,
320,PMPML,320,,,3,,,
322,PMPML,322,,,3,,,
323B,PMPML,323B,,,3,,,
323,PMPML,323,,,3,,,
324,PMPML,324,,,3,,,
325,PMPML,325,,,3,,,
326A,PMPML,326A,,,3,,,
326,PMPML,326,,,3,,,
327A,PMPML,327A,,,3,,,
327C,PMPML,327C,,,3,,,
327,PMPML,327,,,3,,,
