stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
32769,151131,Forest Office Road,,18.51983,73.63158,,,,,,
32770,152339,Kusalkar Putala,,18.52889,73.82708,,,,,,
32771,154648,Tower Line,,18.67007,73.78613,,,,,,
32772,153069,Nehrunagar Depot,,18.6293,73.81942,,,,,,
32773,151724,Jagtap Chowk,,18.49153,73.90019,,,,,,
32774,150534,Bhosalevasti Nagar Road,,18.71115,74.04588,,,,,,
32775,152190,Kirkatwadi Phata,,18.44996,73.79089,,,,,,
32776,150995,Dhayari Phata,,18.46107,73.81317,,,,,,
32778,154748,Vadhu Bk,,18.66617,74.03972,,,,,,
32779,152694,Masulkar Colony,,18.63368,73.80691,,,,,,
32781,150411,Bedekar Ganpati Mandir,,18.51154,73.8172,,,,,,
32782,150465,Bhandarkar Road,,18.51485,73.8288,,,,,,
32783,150620,Budhrani Hospital,,18.533,73.88619,,,,,,
32786,152307,Kulkarni Petrol Pump,,18.51301,73.84442,,,,,,
32787,152687,Maruti Mandir Vajewadi,,18.72614,74.04912,,,,,,
32790,151124,Fatima Nagar Wanowrie,,18.50629,73.90107,,,,,,
32792,154659,Trimurti Hall,,18.65314,73.77467,,,,,,
32793,153920,Sandesh Model Colony,,18.71611,73.84864,,,,,,
32794,150811,D2 Circle,,18.45031,73.75115,,,,,,
32796,154090,Sharwari Complex,,18.62335,73.68673,,,,,,
32797,151853,Jyoti English School,,18.63077,73.82371,,,,,,
32798,152078,Kedarinagar,,18.4888,73.90011,,,,,,
32799,154071,Shaniwarwada,,18.52129,73.85528,,,,,,
32800,150693,Chaudharivasti Nagar Road,,18.68797,74.04313,,,,,,
32801,151068,Durvankur Bungalow,,18.49001,73.82566,,,,,,
32805,153486,Pradhikaran Police Chowky,,18.65062,73.76714,,,,,,
32807,151306,Gavkos Maruti,,18.52088,73.86135,,,,,,
32808,152093,Kemsewadi Shala,,18.58329,73.61864,,,,,,
32810,154674,Tulsi Chemicals,,18.62798,73.83203,,,,,,
32811,155037,Yerawada,,18.54528,73.88416,,,,,,
32813,150892,Dattawadi Kasarsai,,18.62155,73.69126,,,,,,
32814,150754,Chintamani Society,,18.48614,73.84581,,,,,,
32816,150156,Ammunition Canteen,,18.56622,73.8555,,,,,,
32817,154317,Sindhunagar,,18.6558,73.77077,,,,,,
32819,153001,Nashik Phata,,18.60936,73.82272,,,,,,
32820,153356,Pimpavali Phata,,18.59446,73.60862,,,,,,
32821,151332,Ghavtenagar,,18.52508,73.96693,,,,,,
32822,153759,Raviraj Residency,,18.50432,73.79257,,,,,,
32823,152312,Kumbare Park,,18.50324,73.79804,,,,,,
16440,111715,Vaiduwadi,,18.50374,73.92207,,,,,,
32825,150277,Autadewadi Phata,,18.44699,73.93326,,,,,,
32828,152634,Mangdewadi Petrol Pump,,18.43629,73.86051,,,,,,
32829,154879,Vitbhatti Charholi,,18.65849,73.89685,,,,,,
32830,153748,Rautnagar,,18.51753,73.69584,,,,,,
32831,150772,CIRT,,18.611,73.82327,,,,,,
32832,151350,Ghotawade Road Petrol Pump,,18.54272,73.66937,,,,,,
32834,150311,Bahiratwadi,,18.45772,73.96362,,,,,,
32835,151021,Divegaon,,18.38319,74.01554,,,,,,
32837,152447,Loni Station,,18.48916,74.02167,,,,,,
32838,154517,Talab Company,,18.46171,73.89032,,,,,,
32839,154554,Tangde Bandhumala,,18.49914,73.73782,,,,,,
32840,152827,MM School,,18.61493,73.78553,,,,,,
32841,154147,Shindenagar Mharunji,,18.60506,73.72686,,,,,,
32845,150052,Agam Mandir,,18.44675,73.85389,,,,,,
32846,150111,Alegaonkar Shala,,18.56754,73.8464,,,,,,
32848,154098,Shastri Chowk,,18.62463,73.85893,,,,,,
32849,150196,Annadhanya Godam,,18.53309,73.8893,,,,,,
32852,153253,Parvati Payatha,,18.49957,73.85311,,,,,,
32853,153901,Samarth Vidyalay,,18.7327,73.66366,,,,,,
32854,150959,Devi Indrayani Society,,18.70503,73.78299,,,,,,
32857,151594,Homegaurd,,18.55585,73.87481,,,,,,
32858,154348,Someshwarwadi,,18.54675,73.79931,,,,,,
32859,153392,Pirangut,,18.51035,73.68921,,,,,,
32860,153428,Poultry Farm Agalambe,,18.42455,73.72457,,,,,,
32861,151313,Gaymukh,,18.44897,73.83863,,,,,,
32864,154382,Spicer India Company,,18.72269,73.85208,,,,,,
32866,150889,Dattawadi,,18.50099,73.83916,,,,,,
32867,153389,Pinok Society,,18.56025,73.80355,,,,,,
32868,154661,Trinity College,,18.42408,73.90201,,,,,,
32869,154181,Shitolemala,,18.60092,74.15418,,,,,,
32870,152652,Manoharnagar,,18.7347,73.68948,,,,,,
32871,153400,PL Deshpande Udyan,,18.49334,73.83522,,,,,,
32873,151891,Kalamkarvasti,,18.5643,73.7759,,,,,,
32874,150085,Akole Bus Stop,,18.52902,73.57206,,,,,,
32875,150143,Ambegaon Pathar Corner,,18.45959,73.84592,,,,,,
32877,152264,Krushi Utpanna Bazar Samiti,,18.73558,73.96011,,,,,,
32878,153416,Pooja Hospital,,18.58988,73.81953,,,,,,
32879,153943,Sangvi,,18.57596,73.82075,,,,,,
32881,153505,Pravin Mehendi,,18.45044,73.90039,,,,,,
32882,153666,Rajmudra Society,,18.46217,73.85285,,,,,,
32883,151239,Ganesh Park,,18.47578,73.8229,,,,,,
32884,151390,Gokhalenagar Shala,,18.52645,73.82695,,,,,,
32885,152394,Landewadi,,18.61962,73.84197,,,,,,
32887,152395,Landgemala,,18.33996,73.84262,,,,,,
32888,153478,Power House Theur,,18.51937,74.04609,,,,,,
32889,154339,Snehalay Apang Shala,,18.56737,73.98775,,,,,,
32891,152752,Methodist Church,,18.55821,73.85451,,,,,,
32893,152698,Matalwadi Khanapur,,18.40354,73.7427,,,,,,
32894,151973,Karachi Chowk,,18.62122,73.80159,,,,,,
32896,151586,Holkar Pul Corner,,18.55294,73.86433,,,,,,
32898,152164,Kharadi Bypass,,18.56217,73.93842,,,,,,
32902,152802,Mile Dagad Kramank 23 Nagar Road,,18.63834,74.04739,,,,,,
32903,153088,NIBM Road,,18.47687,73.89622,,,,,,
32905,151573,Hinjawadi Petrol Pump,,18.59333,73.73604,,,,,,
32907,150148,Ambegaon Phata Lavasa Road,,18.48231,73.6631,,,,,,
32909,152199,Kiwalegaon,,18.65769,73.72222,,,,,,
32910,154566,Tapkirnagar Rahatni,,18.61209,73.78433,,,,,,
32911,153430,Poultry Farm Anisha,,18.40457,73.68237,,,,,,
32912,152830,Model Colony,,18.52936,73.83847,,,,,,
32913,151634,Inam Aali,,18.63206,73.67922,,,,,,
32914,152632,Mangdenagar,,18.46123,73.84188,,,,,,
32917,154261,Shiwarkar Garden,,18.4986,73.90048,,,,,,
32918,153460,Power House Fursungi,,18.47667,73.95716,,,,,,
32919,154149,Shindevasti Burkegaon,,18.61733,74.11568,,,,,,
32921,151655,Indraprabha,,18.66593,73.72848,,,,,,
32922,151033,Dnyaneshwar Society,,18.48304,73.84996,,,,,,
32923,153867,Sai Palace,,18.45563,73.87137,,,,,,
32924,154707,Vadacha Stop,,18.4915,73.81518,,,,,,
32928,154169,Shiroli,,18.82867,73.87685,,,,,,
32929,150898,Daulat Garden,,18.50325,73.76091,,,,,,
32930,150421,Bhagvatinagar,,18.54231,73.77708,,,,,,
32931,153142,Osade Phata,,18.38954,73.68879,,,,,,
32932,153638,Rajaram Pul Corner,,18.48895,73.82703,,,,,,
32936,151519,Handewadigaon,,18.45311,73.93271,,,,,,
32937,153905,Sambhaji Chowk,,18.64928,73.77004,,,,,,
32938,151605,HRA Reliance,,18.52803,73.77757,,,,,,
32939,150537,Bhosalevasti Uruli Kanchan,,18.48779,74.11622,,,,,,
32940,151462,Gujarwadi,,18.42671,73.87555,,,,,,
32942,153816,Sadhana Vidyalay,,18.50567,73.93849,,,,,,
32943,153064,Nehrunagar Corner,,18.63035,73.81956,,,,,,
32944,152125,Khadakwasla Dharan Stores,,18.45008,73.76367,,,,,,
32945,152765,Mhalunge Phata Chakan,,18.755,73.80854,,,,,,
32946,150456,Bhandari Company,,18.83868,73.88049,,,,,,
32948,150841,Dandekar Pul,,18.50112,73.84653,,,,,,
32949,150780,CNG Pump Corner,,18.66434,73.82448,,,,,,
32952,152370,Lakshminagar Corner,,18.49164,73.84987,,,,,,
32953,155011,Yadavvasti Prayagdham,,18.49589,74.11937,,,,,,
32954,150386,Bankarvasti,,18.67124,73.84833,,,,,,
32955,150169,Anand Ashram,,18.682,74.04225,,,,,,
32956,150184,Anand Nagar Sinhagad Road,,18.47882,73.82445,,,,,,
32957,151036,Donajegaon Phata,,18.41227,73.76665,,,,,,
32959,150617,BU Bhandari Showroom,,18.60178,73.75375,,,,,,
32960,152933,Munjabavasti,,18.589,73.89215,,,,,,
32961,152838,Mohammadwadigaon,,18.46988,73.92146,,,,,,
32963,152839,Mohammadwadi Shala,,18.46821,73.92015,,,,,,
32964,152172,Khed Shivapur,,18.34701,73.84955,,,,,,
32965,152635,Mangdewadi Phata,,18.43463,73.85981,,,,,,
32966,155005,Wireless Office,,18.54173,73.82479,,,,,,
32968,151946,Kalyani Forge,,18.71735,73.84932,,,,,,
32970,154645,Toll Naka,,18.7392,73.7481,,,,,,
32971,151635,Inamdarvasti Rahutwadi,,18.51995,73.69618,,,,,,
32972,154856,Vipraj Company,,18.7168,73.67803,,,,,,
32973,153959,Santkrupa Fabrication,,18.60692,73.72363,,,,,,
32974,151270,Ganpati Mandir Sambhajinagar,,18.66326,73.79832,,,,,,
32975,153888,Sakal Office Vadaki,,18.42513,73.98222,,,,,,
32981,153898,Samadhi Mandir,,18.56517,73.77328,,,,,,
32983,153549,Pune Station,,18.52739,73.87307,,,,,,
32984,152026,Kasba Peth Police Chowky,,18.51978,73.8562,,,,,,
32985,152201,Kodhanpur Phata,,18.34883,73.8516,,,,,,
32986,154795,Varvegaon,,18.30393,73.87019,,,,,,
32987,152899,Mugawade,,18.54273,73.62853,,,,,,
32989,151329,Ghat Utar Valan,,18.40085,73.85702,,,,,,
32990,152203,kohima line,,18.67349,73.76413,,,,,,
32991,152348,Labour Office,,18.53521,73.85135,,,,,,
32992,150452,Bham,,18.80501,73.8727,,,,,,
32994,150704,Cheladi Phata,,18.26593,73.88186,,,,,,
32995,154740,Vadgaonmawal Phata,,18.7284,73.65482,,,,,,
24804,137874,Vitthal Mandir Mhasolkar,,18.63325,73.81236,,,,,,
32996,153681,Rakshevasti,,18.57578,73.70999,,,,,,
32997,154791,Vardade Phata,,18.38947,73.70037,,,,,,
32998,153790,Royal Park,,18.49616,73.83166,,,,,,
32999,150598,Boratevasti Nasik Road,,18.66519,73.84878,,,,,,
33000,150885,Dattanagar Katraj Road,,18.44939,73.84964,,,,,,
33001,154802,Vasantbaug Chowk,,18.4808,73.86168,,,,,,
33002,151872,Kadus Phata,,18.84749,73.88426,,,,,,
33003,153474,Power House Padmawati,,18.47681,73.85097,,,,,,
33004,153141,Osade Phata,,18.38953,73.68883,,,,,,
33006,152099,Kendriya Vidyalay Lohgaon,,18.59181,73.91704,,,,,,
33007,151515,Hadapsargaon,,18.50167,73.93307,,,,,,
33008,151723,Jagdhmba Hotal,,18.57737,73.78758,,,,,,
33010,151651,Indoorance System Chakan Mhalunge,,18.74243,73.80676,,,,,,
33012,153244,Parvatigaon,,18.49744,73.85098,,,,,,
33013,153538,pumpung Station Medi Point,,18.5637,73.79675,,,,,,
33014,153961,Santnagar,,18.64686,73.84565,,,,,,
33015,154772,Vallabhnagar ST Stand,,18.6152,73.81681,,,,,,
33016,153883,Sai Washing Center,,18.6263,73.68103,,,,,,
33018,151555,Hill Hila,,18.4527,73.88352,,,,,,
33019,150867,Dattamandir Narhe Road,,18.45604,73.81987,,,,,,
33020,151401,Gokulnagar Katraj Kondhwa Road,,18.44989,73.8757,,,,,,
33021,153341,Petrol Pump Dhanora,,18.67009,73.91917,,,,,,
33022,154009,Satavvasti,,18.53517,73.70593,,,,,,
