route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,duty,duty_sequence_number,run_sequence_number
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0740_0,Katraj To Bhakti Shakti,,0,,4810,,,42/10,1,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2010_0,Bhakti Shakti To Katraj,,0,,4811,,,42/5,8,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1750_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,10,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0655_0,Katraj To Bhakti Shakti,,0,,4810,,,42/7,1,1
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1440_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/3,7,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0940_0,Bhakti Shakti To Katraj,,0,,4811,,,42/11,2,2
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0715_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/1,3,3
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1755_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/4,9,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2200_0,Bhakti Shakti To Katraj,,0,,4811,,,42/12,8,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0610_0,Katraj To Bhakti Shakti,,0,,4810,,,42/4,1,1
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1340_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/1,7,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1210_0,Katraj To Bhakti Shakti,,0,,4810,,,42/17,4,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1650_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/2,9,3
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1830_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/5,7,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1005_0,Bhakti Shakti To Katraj,,0,,4811,,,42/12,2,2
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0530_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/2,1,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1725_0,Bhakti Shakti To Katraj,,0,,4811,,,42/10,6,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0805_0,Bhakti Shakti To Katraj,,0,,4811,,,42/5,2,2
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1550_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/5,5,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0820_0,Katraj To Bhakti Shakti,,0,,4810,,,42/12,1,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0900_0,Katraj To Bhakti Shakti,,0,,4810,,,42/14,1,1
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-2050_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/3,11,5
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1555_0,Katraj To Bhakti Shakti,,0,,4810,,,42/11,3,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1240_0,Katraj To Bhakti Shakti,,0,,4810,,,42/13,3,3
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0925_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/5,1,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1035_0,Katraj To Bhakti Shakti,,0,,4810,,,42/6,3,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1130_0,Bhakti Shakti To Katraj,,0,,4811,,,42/2,4,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1255_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/3,6,6
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2115_0,Bhakti Shakti To Katraj,,0,,4811,,,42/8,8,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0745_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/2,3,3
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1825_0,Katraj To Bhakti Shakti,,0,,4810,,,42/5,7,3
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0900_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/2,4,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0500_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/1,1,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0945_0,Katraj To Bhakti Shakti,,0,,4810,,,42/2,3,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0755_0,Bhakti Shakti To Katraj,,0,,4811,,,42/4,2,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0730_0,Bhakti Shakti To Katraj,,0,,4811,,,42/2,2,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1500_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,8,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1230_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/2,6,6
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1325_0,Bhakti Shakti To Katraj,,0,,4811,,,42/10,4,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0600_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,2,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1820_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/2,10,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0815_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/3,3,3
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1555_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/3,8,2
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-2010_0,Katraj To Bhakti Shakti,,0,,4810,,,42/12,7,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1045_0,Bhakti Shakti To Katraj,,0,,4811,,,42/14,2,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1300_0,Bhakti Shakti To Katraj,,0,,4811,,,42/8,4,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0740_0,Bhakti Shakti To Katraj,,0,,4811,,,42/3,2,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1005_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/4,4,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1415_0,Katraj To Bhakti Shakti,,0,,4810,,,42/4,5,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1140_0,Bhakti Shakti To Katraj,,0,,4811,,,42/3,4,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1320_0,Katraj To Bhakti Shakti,,0,,4810,,,42/15,3,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2310_0,Bhakti Shakti To Katraj,,0,,4811,,,42/15,8,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0700_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/3,2,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0730_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/4,2,2
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-2000_0,Katraj To Bhakti Shakti,,0,,4810,,,42/17,8,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1515_0,Katraj To Bhakti Shakti,,0,,4810,,,42/8,5,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0915_0,Katraj To Bhakti Shakti,,0,,4810,,,42/15,1,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1800_0,Katraj To Bhakti Shakti,,0,,4810,,,42/3,7,3
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1740_0,Bhakti Shakti To Katraj,,0,,4811,,,42/11,4,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1350_0,Bhakti Shakti To Katraj,,0,,4811,,,42/17,5,1
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0630_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/2,2,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2330_0,Bhakti Shakti To Katraj,,0,,4811,,,42/2,8,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1520_0,Bhakti Shakti To Katraj,,0,,4811,,,42/1,6,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0545_0,Bhakti Shakti To Katraj,,0,,4811,,,42/16,1,1
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1130_0,Katraj To Bhakti Shakti,,0,,4810,,,42/16,4,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1555_0,Bhakti Shakti To Katraj,,0,,4811,,,42/4,6,2
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0840_0,Katraj To Bhakti Shakti,,0,,4810,,,42/13,1,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1155_0,Bhakti Shakti To Katraj,,0,,4811,,,42/4,4,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1755_0,Bhakti Shakti To Katraj,,0,,4811,,,42/12,6,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0715_0,Bhakti Shakti To Katraj,,0,,4811,,,42/1,2,2
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1515_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/4,7,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1945_0,Bhakti Shakti To Katraj,,0,,4811,,,42/3,8,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1030_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/2,5,5
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1405_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/5,4,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1115_0,Bhakti Shakti To Katraj,,0,,4811,,,42/1,4,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1200_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,6,6
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0830_0,Katraj To Bhakti Shakti,,0,,4810,,,42/17,2,2
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0830_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/1,4,4
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-2125_0,Bhakti Shakti To Pune Station (Via Yerwada),,0,,4795,,,366/4,11,5
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1610_0,Bhakti Shakti To Katraj,,0,,4811,,,42/5,6,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2050_0,Bhakti Shakti To Katraj,,0,,4811,,,42/7,8,4
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1040_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/5,2,2
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2000_0,Bhakti Shakti To Katraj,,0,,4811,,,42/4,8,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1405_0,Bhakti Shakti To Katraj,,0,,4811,,,42/12,4,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2135_0,Bhakti Shakti To Katraj,,0,,4811,,,42/10,8,4
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0630_0,Bhakti Shakti To Katraj,,0,,4811,,,42/17,1,1
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-0935_0,Pune Station To Bhakti Shakti (Via Yerwada),,0,,4794,,,366/3,4,4
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0545_0,Katraj To Bhakti Shakti,,0,,4810,,,42/2,1,1
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1655_0,Bhakti Shakti To Katraj,,0,,4811,,,42/7,6,2
