stop_id,stop_name,stop_lat,stop_lon
32769,Forest Office Road,18.51983,73.63158
32770,Kusalkar Putala,18.52889,73.82708000000001
32771,Tower Line,18.670070000000003,73.78613
32772,Nehrunagar Depot,18.6293,73.81942
32773,Jagtap Chowk,18.491529999999997,73.90019000000001
32774,Bhosalevasti Nagar Road,18.71115,74.04588000000001
32775,Kirkatwadi Phata,18.44996,73.79089
32776,Dhayari Phata,18.46107,73.81317
32778,Vadhu Bk,18.66617,74.03971999999999
32779,Masulkar Colony,18.63368,73.80691
32781,Bedekar Ganpati Mandir,18.51154,73.8172
32782,Bhandarkar Road,18.51485,73.8288
32783,Budhrani Hospital,18.533,73.88619
32786,Kulkarni Petrol Pump,18.51301,73.84442
32787,Maruti Mandir Vajewadi,18.72614,74.04912
32790,Fatima Nagar Wanowrie,18.50629,73.90106999999999
32792,Trimurti Hall,18.65314,73.77467
32793,Sandesh Model Colony,18.71611,73.84864
32794,D2 Circle,18.45031,73.75115
32796,Sharwari Complex,18.62335,73.68673000000001
32797,Jyoti English School,18.630770000000002,73.82370999999999
32798,Kedarinagar,18.4888,73.90011
32799,Shaniwarwada,18.52129,73.85528000000001
32800,Chaudharivasti Nagar Road,18.68797,74.04313
32801,Durvankur Bungalow,18.49001,73.82566
32805,Pradhikaran Police Chowky,18.65062,73.76714
32807,Gavkos Maruti,18.52088,73.86135
32808,Kemsewadi Shala,18.583289999999998,73.61864
32810,Tulsi Chemicals,18.627979999999997,73.83203
32811,Yerawada,18.545279999999998,73.88416
32813,Dattawadi Kasarsai,18.62155,73.69126
32814,Chintamani Society,18.48614,73.84581
32816,Ammunition Canteen,18.56622,73.8555
32817,Sindhunagar,18.6558,73.77077
32819,Nashik Phata,18.609360000000002,73.82271999999999
32820,Pimpavali Phata,18.59446,73.60862
32821,Ghavtenagar,18.52508,73.96693
32822,Raviraj Residency,18.50432,73.79257
32823,Kumbare Park,18.503239999999998,73.79804
16440,Vaiduwadi,18.50374,73.92206999999999
32825,Autadewadi Phata,18.44699,73.93326
32828,Mangdewadi Petrol Pump,18.43629,73.86050999999999
32829,Vitbhatti Charholi,18.65849,73.89685
32830,Rautnagar,18.517529999999997,73.69584
32831,CIRT,18.611,73.82327
32832,Ghotawade Road Petrol Pump,18.542720000000003,73.66937
32834,Bahiratwadi,18.457720000000002,73.96361999999999
32835,Divegaon,18.38319,74.01554
32837,Loni Station,18.489160000000002,74.02167
32838,Talab Company,18.46171,73.89031999999999
32839,Tangde Bandhumala,18.49914,73.73782
32840,MM School,18.614929999999998,73.78553000000001
32841,Shindenagar Mharunji,18.60506,73.72686
32845,Agam Mandir,18.44675,73.85389
32846,Alegaonkar Shala,18.56754,73.8464
32848,Shastri Chowk,18.62463,73.85893
32849,Annadhanya Godam,18.533089999999998,73.8893
32852,Parvati Payatha,18.499570000000002,73.85311
32853,Samarth Vidyalay,18.7327,73.66366
32854,Devi Indrayani Society,18.705029999999997,73.78299
32857,Homegaurd,18.55585,73.87481
32858,Someshwarwadi,18.54675,73.79930999999999
32859,Pirangut,18.51035,73.68921
32860,Poultry Farm Agalambe,18.42455,73.72457
32861,Gaymukh,18.448970000000003,73.83863000000001
32864,Spicer India Company,18.72269,73.85208
32866,Dattawadi,18.500989999999998,73.83915999999999
32867,Pinok Society,18.56025,73.80355
32868,Trinity College,18.42408,73.90201
32869,Shitolemala,18.600920000000002,74.15418000000001
32870,Manoharnagar,18.7347,73.68948
32871,PL Deshpande Udyan,18.49334,73.83521999999999
32873,Kalamkarvasti,18.5643,73.7759
32874,Akole Bus Stop,18.529020000000003,73.57206
32875,Ambegaon Pathar Corner,18.45959,73.84591999999999
32877,Krushi Utpanna Bazar Samiti,18.73558,73.96011
32878,Pooja Hospital,18.589879999999997,73.81953
32879,Sangvi,18.575960000000002,73.82075
32881,Pravin Mehendi,18.45044,73.90039
32882,Rajmudra Society,18.46217,73.85285
32883,Ganesh Park,18.47578,73.8229
32884,Gokhalenagar Shala,18.52645,73.82695
32885,Landewadi,18.61962,73.84196999999999
32887,Landgemala,18.33996,73.84262
32888,Power House Theur,18.519370000000002,74.04609
32889,Snehalay Apang Shala,18.56737,73.98775
32891,Methodist Church,18.55821,73.85451
32893,Matalwadi Khanapur,18.40354,73.7427
32894,Karachi Chowk,18.62122,73.80159
32896,Holkar Pul Corner,18.55294,73.86433000000001
32898,Kharadi Bypass,18.562170000000002,73.93842
32902,Mile Dagad Kramank 23 Nagar Road,18.63834,74.04739000000001
32903,NIBM Road,18.47687,73.89622
32905,Hinjawadi Petrol Pump,18.593329999999998,73.73604
32907,Ambegaon Phata Lavasa Road,18.482310000000002,73.6631
32909,Kiwalegaon,18.65769,73.72222
32910,Tapkirnagar Rahatni,18.61209,73.78433000000001
32911,Poultry Farm Anisha,18.40457,73.68236999999999
32912,Model Colony,18.52936,73.83847
32913,Inam Aali,18.63206,73.67922
32914,Mangdenagar,18.46123,73.84188
32917,Shiwarkar Garden,18.4986,73.90048
32918,Power House Fursungi,18.476670000000002,73.95716
32919,Shindevasti Burkegaon,18.61733,74.11568
32921,Indraprabha,18.66593,73.72848
32922,Dnyaneshwar Society,18.48304,73.84996
32923,Sai Palace,18.45563,73.87137
32924,Vadacha Stop,18.4915,73.81518
32928,Shiroli,18.828670000000002,73.87685
32929,Daulat Garden,18.50325,73.76091
32930,Bhagvatinagar,18.54231,73.77708
32931,Osade Phata,18.38954,73.68879
32932,Rajaram Pul Corner,18.48895,73.82703000000001
32936,Handewadigaon,18.453110000000002,73.93271
32937,Sambhaji Chowk,18.649279999999997,73.77004000000001
32938,HRA Reliance,18.528029999999998,73.77757
32939,Bhosalevasti Uruli Kanchan,18.48779,74.11622
32940,Gujarwadi,18.42671,73.87555
32942,Sadhana Vidyalay,18.505670000000002,73.93849
32943,Nehrunagar Corner,18.63035,73.81956
32944,Khadakwasla Dharan Stores,18.45008,73.76366999999999
32945,Mhalunge Phata Chakan,18.755,73.80854000000001
32946,Bhandari Company,18.83868,73.88049000000001
32948,Dandekar Pul,18.50112,73.84653
32949,CNG Pump Corner,18.66434,73.82448000000001
32952,Lakshminagar Corner,18.49164,73.84987
32953,Yadavvasti Prayagdham,18.49589,74.11936999999999
32954,Bankarvasti,18.67124,73.84833
32955,Anand Ashram,18.682000000000002,74.04225
32956,Anand Nagar Sinhagad Road,18.478820000000002,73.82445
32957,Donajegaon Phata,18.41227,73.76665
32959,BU Bhandari Showroom,18.601779999999998,73.75375
32960,Munjabavasti,18.589000000000002,73.89215
32961,Mohammadwadigaon,18.46988,73.92146
32963,Mohammadwadi Shala,18.46821,73.92015
32964,Khed Shivapur,18.34701,73.84955
32965,Mangdewadi Phata,18.43463,73.85981
32966,Wireless Office,18.541729999999998,73.82479000000001
32968,Kalyani Forge,18.71735,73.84931999999999
32970,Toll Naka,18.7392,73.7481
32971,Inamdarvasti Rahutwadi,18.51995,73.69618
32972,Vipraj Company,18.7168,73.67803
32973,Santkrupa Fabrication,18.606920000000002,73.72363
32974,Ganpati Mandir Sambhajinagar,18.66326,73.79831999999999
32975,Sakal Office Vadaki,18.42513,73.98222
32981,Samadhi Mandir,18.565170000000002,73.77328
32983,Pune Station,18.52739,73.87307
32984,Kasba Peth Police Chowky,18.519779999999997,73.8562
32985,Kodhanpur Phata,18.34883,73.8516
32986,Varvegaon,18.303929999999998,73.87019000000001
32987,Mugawade,18.54273,73.62853
32989,Ghat Utar Valan,18.40085,73.85701999999999
32990,kohima line,18.67349,73.76413000000001
32991,Labour Office,18.53521,73.85135
32992,Bham,18.80501,73.8727
32994,Cheladi Phata,18.265929999999997,73.88186
32995,Vadgaonmawal Phata,18.7284,73.65482
24804,Vitthal Mandir Mhasolkar,18.63325,73.81236
32996,Rakshevasti,18.575779999999998,73.70999
32997,Vardade Phata,18.389470000000003,73.70036999999999
32998,Royal Park,18.49616,73.83166
32999,Boratevasti Nasik Road,18.66519,73.84878
33000,Dattanagar Katraj Road,18.44939,73.84964000000001
33001,Vasantbaug Chowk,18.4808,73.86168
33002,Kadus Phata,18.84749,73.88426
33003,Power House Padmawati,18.47681,73.85096999999999
33004,Osade Phata,18.38953,73.68883000000001
33006,Kendriya Vidyalay Lohgaon,18.59181,73.91704
33007,Hadapsargaon,18.50167,73.93307
33008,Jagdhmba Hotal,18.577370000000002,73.78758
33010,Indoorance System Chakan Mhalunge,18.74243,73.80676
33012,Parvatigaon,18.49744,73.85098
33013,pumpung Station Medi Point,18.5637,73.79675
33014,Santnagar,18.64686,73.84565
33015,Vallabhnagar ST Stand,18.6152,73.81681
33016,Sai Washing Center,18.6263,73.68103
33018,Hill Hila,18.4527,73.88351999999999
33019,Dattamandir Narhe Road,18.456039999999998,73.81987
33020,Gokulnagar Katraj Kondhwa Road,18.44989,73.8757
33021,Petrol Pump Dhanora,18.67009,73.91917
33022,Satavvasti,18.53517,73.70593000000001
33023,Mile Dagad Kramank 9,18.50704,73.78536
33024,Santoshi Mata Mandir Alandi,18.676479999999998,73.90238000000001
33025,NCL Colony,18.53987,73.81655
33026,Gurukrupa Hospital,18.60304,73.73096
33027,Mundhwa Shala,18.53419,73.92866
33028,Kondhwa Bk,18.45419,73.89066
33029,Pulachiwadi,18.32365,73.85479000000001
33030,Satavvasti,18.53504,73.70577
33032,Kamala Nehru Hospital,18.52201,73.86131999999999
33033,Power House Indrayninagar,18.631610000000002,73.831
