Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
1,1,1,26,0,3,3,4,3,3
1,5,0,8,3,5,4,3,23,2
3,1,0,5,2,5,2,6,9,3
5,14,0,46,5,5,21,5,27,22
5,14,0,45,5,5,23,5,26,22
0,0,0,5,1,0,5,3,2,1
7,9,3,18,4,4,20,7,16,5
3,3,0,18,0,2,3,4,5,1
5,14,0,26,5,4,29,8,14,7
5,10,0,51,5,3,24,1,32,20
8,12,3,24,4,4,25,8,16,5
3,2,0,4,2,5,4,8,9,3
6,3,0,24,4,6,19,6,11,11
3,6,1,30,2,4,4,4,3,4
1,5,0,8,3,5,4,3,23,2
1,5,0,5,0,2,5,1,4,1
1,8,0,10,0,7,4,5,34,6
1,0,0,5,1,0,4,1,10,3
0,0,0,4,0,1,4,2,3,0
0,6,0,9,0,3,4,9,17,0
2,1,0,7,0,0,5,0,11,0
6,2,0,27,4,6,20,6,12,11
0,1,0,5,0,3,7,5,6,0
8,12,3,23,4,4,25,8,15,4
8,11,3,36,4,4,21,8,18,9
0,0,0,4,0,1,4,4,3,0
2,1,0,7,0,1,5,0,12,0
0,4,0,5,1,2,11,2,5,1
1,7,0,10,0,7,5,5,33,6
6,1,0,22,4,6,22,6,11,11
1,3,0,17,1,5,5,4,4,3
0,4,0,5,2,2,1,7,15,2
1,4,0,13,3,4,5,11,4,5
1,2,0,4,1,3,5,2,11,1
8,11,3,37,4,4,21,8,17,9
6,5,3,37,7,5,14,10,17,3
0,0,0,1,0,0,2,0,1,0
2,1,0,8,0,1,8,0,11,1
0,2,0,10,3,4,1,3,14,3
0,1,0,0,0,0,3,0,2,0
3,3,0,4,1,4,7,7,9,0
2,1,0,8,0,1,7,0,13,1
0,0,1,3,0,1,3,1,8,1
0,1,0,2,0,0,2,6,2,1
5,14,0,42,5,5,25,4,31,22
0,0,0,1,0,1,0,0,2,0
6,2,0,23,4,6,19,8,10,12
0,0,1,3,0,1,3,1,8,1
8,12,3,30,4,4,21,8,15,8
11,20,0,80,9,15,21,3,19,15
0,7,0,5,0,1,3,10,13,0
1,3,0,9,5,2,8,5,4,1
0,0,0,1,0,0,4,0,6,1
0,0,0,0,0,0,1,0,3,0
1,12,0,10,6,4,6,7,15,3
0,0,0,4,0,1,4,4,3,0
0,0,0,4,0,0,3,0,4,1
0,2,0,14,5,5,15,4,15,2
6,9,0,21,4,4,22,6,8,6
4,5,1,15,2,4,3,5,2,3
6,8,0,20,4,4,22,6,8,6
6,2,2,52,7,10,14,8,20,7
5,9,0,44,4,5,20,6,27,19
1,0,0,6,3,8,4,2,4,2
3,2,0,4,2,5,5,7,10,3
0,0,0,6,0,3,5,2,8,2
2,1,0,7,0,0,5,0,11,0
1,5,0,18,2,7,4,6,3,2
2,1,0,6,0,1,6,0,12,1
0,0,0,0,0,0,1,0,2,1
0,0,0,0,0,0,1,0,4,0
0,0,0,0,0,0,0,0,1,0
1,12,0,12,0,8,3,1,5,2
0,0,0,6,1,3,6,1,4,1
0,0,0,4,0,3,2,2,2,2
0,0,0,0,0,0,0,0,2,0
5,3,1,13,1,7,3,2,21,4
8,12,3,32,4,4,20,8,16,9
0,0,0,1,0,2,2,3,3,0
1,5,0,18,2,7,4,6,3,2
8,11,3,19,4,4,21,7,17,5
1,4,0,5,1,1,7,4,20,4
7,9,3,24,6,4,20,8,17,3
0,2,1,6,1,2,4,10,3,3
0,0,0,1,0,0,1,0,1,0
1,5,0,4,0,4,13,9,16,2
1,5,0,5,0,2,5,1,4,1
7,16,0,12,4,4,16,7,0,2
0,10,0,49,5,3,6,5,11,8
0,2,0,5,0,3,7,5,7,0
5,8,0,15,6,5,7,6,3,4
0,0,0,4,0,1,4,2,2,0
4,2,1,19,6,4,19,1,9,3
1,3,0,23,4,11,5,3,5,2
1,7,0,5,1,3,8,5,14,1
1,2,0,4,1,2,5,2,11,1
1,4,0,6,0,2,4,1,13,0
0,0,0,4,0,1,1,2,4,0
0,4,0,5,2,6,5,3,10,5
0,4,0,4,0,1,5,1,5,0
1,0,0,4,1,0,4,1,10,3
2,2,0,6,4,2,6,5,16,2
0,2,0,4,0,0,7,0,4,2
0,2,0,4,0,2,1,4,1,1
