route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_distance
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0740_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2010_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
366,1,NORMAL_366_Pune Station To Bhakti Shakti (Via Yerwada)_Up-1750_0,Pune Station To Bhakti Shakti (Via Yerwada),0,4794,22.519401450313573
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0655_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1440_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0940_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0715_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1755_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-2200_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0610_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1340_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1210_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1650_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1830_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1005_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0530_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-1725_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
42,1,NORMAL_42_Bhakti Shakti To Katraj_Down-0805_0,Bhakti Shakti To Katraj,0,4811,30.0251152607053
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-1550_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0820_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-0900_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-2050_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1555_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
42,1,NORMAL_42_Katraj To Bhakti Shakti_Up-1240_0,Katraj To Bhakti Shakti,0,4810,30.111607472090107
366,1,NORMAL_366_Bhakti Shakti To Pune Station (Via Yerwada)_Down-0925_0,Bhakti Shakti To Pune Station (Via Yerwada),0,4795,21.29604270681038
